icb_code,testing_period,cv_number,ibes,lgbm_ex_fwd,lgbm_in_fwd,len,industry_group_name
501010,2018-06-30 00:00:00,all,0.017043541442536086,0.015698902572092183,0.016579296693144858,630.0,Construction
201020,2018-06-30 00:00:00,all,0.011974383067398377,0.007665295984098606,0.0085214316847359,420.0,Medical
401010,2018-06-30 00:00:00,all,0.02151244788418927,0.019417264409733438,0.024184066671815874,520.0,Auto
101020,2018-06-30 00:00:00,all,0.020590050788736353,0.016221553290587436,0.0163853549958706,850.0,Tech Equip.
999999,2018-06-30 00:00:00,all,0.01979447025660926,0.014661888385265333,0.016019965354353318,6530.0,
651010,2018-03-31 00:00:00,all,0.018592251281955883,0.013762459809982709,0.01467052743352273,520.0,Electricity
502050,2018-03-31 00:00:00,all,0.013667734632738633,0.015311340266065667,0.014878161830453554,540.0,Ind. Services
302020,2018-03-31 00:00:00,all,0.017713254988383526,0.01785646143408876,0.01872084681489697,640.0,Finance Services
201030,2018-03-31 00:00:00,all,0.01847100626823699,0.01593023837952076,0.017036831752193202,800.0,Pharma-Biotech
552010,2018-03-31 00:00:00,all,0.02352527876784369,0.0239632013869646,0.02406053325993991,680.0,Chem
351020,2018-03-31 00:00:00,all,0.009879390361630404,0.011542205520814882,0.011379529364070563,580.0,REIT
502060,2018-03-31 00:00:00,all,0.02118118407171683,0.016507439183262005,0.016567803727273997,580.0,Ind. Transport
502030,2018-03-31 00:00:00,all,0.030737061029396436,0.02611704525634334,0.02654258082545066,420.0,Industrials
301010,2018-03-31 00:00:00,all,0.004018822767901703,0.006539926611924482,0.005641362603609379,5260.0,Banks
601010,2018-03-31 00:00:00,all,0.006092674340524652,0.010349089304813838,0.011278607448005141,2340.0,Energy
101010,2018-03-31 00:00:00,all,0.01626067007052493,0.014812500088020868,0.014856560336175934,580.0,Software and Comp Serv
501010,2018-03-31 00:00:00,all,0.01596862915093737,0.01391118401944914,0.01429496450766626,640.0,Construction
201020,2018-03-31 00:00:00,all,0.015848283608624714,0.01048298040200995,0.011976328596792025,440.0,Medical
401010,2018-03-31 00:00:00,all,0.020565264092393867,0.019693447702945007,0.020438348907570906,520.0,Auto
101020,2018-03-31 00:00:00,all,0.01739180996074144,0.017042419582682176,0.017326211253085307,880.0,Tech Equip.
999999,2018-03-31 00:00:00,all,0.017933481695834353,0.016292537675209863,0.0170035860321062,6580.0,
651010,2016-03-31 00:00:00,all,0.020085644210788536,0.015284974188373015,0.01508080160720748,250.0,Electricity
502050,2016-03-31 00:00:00,all,0.010876954837641142,0.011076457927025461,0.011416262936482253,270.0,Ind. Services
302020,2016-03-31 00:00:00,all,0.015154729945080915,0.0129298067885596,0.01379611178308938,350.0,Finance Services
201030,2016-03-31 00:00:00,all,0.00619824476985017,0.006967433069592069,0.007088975644528329,420.0,Pharma-Biotech
552010,2016-03-31 00:00:00,all,0.026104211242683268,0.026192760586913225,0.027290298150950718,340.0,Chem
351020,2016-03-31 00:00:00,all,0.011338336834252576,0.009833613383922905,0.011927193531283591,270.0,REIT
502060,2016-03-31 00:00:00,all,0.010779988172340894,0.011626868046950832,0.01219828557645812,310.0,Ind. Transport
502030,2016-03-31 00:00:00,all,0.014228285257376155,0.013078307427988706,0.012453308174930525,230.0,Industrials
301010,2016-03-31 00:00:00,all,0.006380610555988793,0.006963061323488933,0.0069035297028158735,2410.0,Banks
601010,2016-03-31 00:00:00,all,0.03336577787551263,0.030203300975103157,0.03147673194460605,1060.0,Energy
101010,2016-03-31 00:00:00,all,0.007904288387652928,0.008493936629831937,0.008940355444158245,270.0,Software and Comp Serv
501010,2016-03-31 00:00:00,all,0.016408358264993837,0.015004696465728244,0.015086521295771718,300.0,Construction
201020,2016-03-31 00:00:00,all,0.009435398456920136,0.008078162119083162,0.008295219144642513,290.0,Medical
401010,2016-03-31 00:00:00,all,0.021671866040563956,0.021397725187170823,0.021893814307563514,260.0,Auto
