,train_valid,valid_test,>0,>0.5,,
20190331_501010,-0.128309784,-0.344603536,FALSE,FALSE,,
20140930_502050,0.037398168,-0.354535397,FALSE,FALSE,,
20180630_302020,0.437552101,-0.426311752,FALSE,FALSE,,
20140331_651010,0.075163584,-0.456819847,FALSE,FALSE,,
20140331_502050,0.177317372,-0.519489246,FALSE,FALSE,,
20150331_651010,,,,,,
20150930_201020,,,,,,
20140331_201020,,,,,,
20180930_401010,,,,,,
20141231_502060,,,,,,
20151231_651010,,,,,,
20140630_201020,,,,,,
20160630_201020,,,,,,
20140930_201020,,,,,,
20161231_201020,,,,,,
20130930_601010,,,,,,
